34731	19790906,	0600,	,	TD,	37.8N,	37.0W,	20,	-999,	-999,	-999,	-999,	-999,	-999,	-999,	-999,	-999,	-999,	-999,	-999,	-999,
34732	19790906,	1200,	,	TD,	39.0N,	36.0W,	20,	-999,	-999,	-999,	-999,	-999,	-999,	-999,	-999,	-999,	-999,	-999,	-999,	-999,
34733	AL141979,			G	LORIA,	44,														
34734	19790904,	1200,	,	TD,	15.5N,	21.0W,	25,	1005,	-999,	-999,	-999,	-999,	-999,	-999,	-999,	-999,	-999,	-999,	-999,	-999,
34735	19790904,	1800,	,	TD,	16.5N,	22.5W,	25,	1004,	-999,	-999,	-999,	-999,	-999,	-999,	-999,	-999,	-999,	-999,	-999,	-999,
34736	19790905,	0000,	,	TD,	17.5N,	24.0W,	25,	1003,	-999,	-999,	-999,	-999,	-999,	-999,	-999,	-999,	-999,	-999,	-999,	-999,
34737	19790905,	0600,	,	TD,	18.5N,	25.5W,	25,	1002,	-999,	-999,	-999,	-999,	-999,	-999,	-999,	-999,	-999,	-999,	-999,	-999,
34738	19790905,	1200,	,	TD,	19.0N,	27.0W,	30,	1002,	-999,	-999,	-999,	-999,	-999,	-999,	-999,	-999,	-999,	-999,	-999,	-999,
34739	19790905,	1800,	,	TD,	19.8N,	28.8W,	30,	1002,	-999,	-999,	-999,	-999,	-999,	-999,	-999,	-999,	-999,	-999,	-999,	-999,
34740	19790906,	0000,	,	TD,	20.5N,	30.3W,	30,	1001,	-999,	-999,	-999,	-999,	-999,	-999,	-999,	-999,	-999,	-999,	-999,	-999,
34741	19790906,	0600,	,	TD,	21.2N,	32.0W,	30,	1001,	-999,	-999,	-999,	-999,	-999,	-999,	-999,	-999,	-999,	-999,	-999,	-999,
34742	19790906,	1200,	,	TS,	22.0N,	33.8W,	35,	1000,	-999,	-999,	-999,	-999,	-999,	-999,	-999,	-999,	-999,	-999,	-999,	-999,
34743	19790906,	1800,	,	TS,	22.5N,	35.5W,	45,	998,	-999,	-999,	-999,	-999,	-999,	-999,	-999,	-999,	-999,	-999,	-999,	-999,
34744	19790907,	0000,	,	TS,	23.2N,	36.8W,	55,	995,	-999,	-999,	-999,	-999,	-999,	-999,	-999,	-999,	-999,	-999,	-999,	-999,
34745	19790907,	0600,	,	HU,	24.4N,	37.2W,	65,	992,	-999,	-999,	-999,	-999,	-999,	-999,	-999,	-999,	-999,	-999,	-999,	-999,
34746	19790907,	1200,	,	HU,	25.6N,	38.0W,	65,	990,	-999,	-999,	-999,	-999,	-999,	-999,	-999,	-999,	-999,	-999,	-999,	-999,
34747	19790907,	1800,	,	HU,	26.4N,	38.7W,	70,	988,	-999,	-999,	-999,	-999,	-999,	-999,	-999,	-999,	-999,	-999,	-999,	-999,
34748	19790908,	0000,	,	HU,	27.0N,	39.2W,	75,	985,	-999,	-999,	-999,	-999,	-999,	-999,	-999,	-999,	-999,	-999,	-999,	-999,
34749	19790908,	0600,	,	HU,	27.5N,	40.0W,	75,	985,	-999,	-999,	-999,	-999,	-999,	-999,	-999,	-999,	-999,	-999,	-999,	-999,
34750	19790908,	1200,	,	HU,	28.0N,	40.3W,	75,	985,	-999,	-999,	-999,	-999,	-999,	-999,	-999,	-999,	-999,	-999,	-999,	-999,
34751	19790908,	1800,	,	HU,	28.6N,	41.0W,	75,	985,	-999,	-999,	-999,	-999,	-999,	-999,	-999,	-999,	-999,	-999,	-999,	-999,
34752	19790909,	0000,	,	HU,	29.3N,	41.7W,	75,	985,	-999,	-999,	-999,	-999,	-999,	-999,	-999,	-999,	-999,	-999,	-999,	-999,
34753	19790909,	0600,	,	HU,	29.9N,	42.5W,	75,	985,	-999,	-999,	-999,	-999,	-999,	-999,	-999,	-999,	-999,	-999,	-999,	-999,
34754	19790909,	1200,	,	HU,	30.4N,	43.2W,	75,	985,	-999,	-999,	-999,	-999,	-999,	-999,	-999,	-999,	-999,	-999,	-999,	-999,
34755	19790909,	1800,	,	HU,	31.0N,	44.0W,	70,	987,	-999,	-999,	-999,	-999,	-999,	-999,	-999,	-999,	-999,	-999,	-999,	-999,
34756	19790910,	0000,	,	HU,	31.5N,	45.0W,	70,	989,	-999,	-999,	-999,	-999,	-999,	-999,	-999,	-999,	-999,	-999,	-999,	-999,
34757	19790910,	0600,	,	HU,	31.2N,	45.8W,	65,	991,	-999,	-999,	-999,	-999,	-999,	-999,	-999,	-999,	-999,	-999,	-999,	-999,
34758	19790910,	1200,	,	HU,	31.0N,	46.8W,	65,	993,	-999,	-999,	-999,	-999,	-999,	-999,	-999,	-999,	-999,	-999,	-999,	-999,
34759	19790910,	1800,	,	TS,	31.1N,	47.0W,	60,	994,	-999,	-999,	-999,	-999,	-999,	-999,	-999,	-999,	-999,	-999,	-999,	-999,
34760	19790911,	0000,	,	TS,	31.3N,	47.4W,	55,	995,	-999,	-999,	-999,	-999,	-999,	-999,	-999,	-999,	-999,	-999,	-999,	-999,
34761	19790911,	0600,	,	TS,	31.4N,	47.9W,	55,	995,	-999,	-999,	-999,	-999,	-999,	-999,	-999,	-999,	-999,	-999,	-999,	-999,
34762	19790911,	1200,	,	TS,	31.6N,	48.1W,	60,	994,	-999,	-999,	-999,	-999,	-999,	-999,	-999,	-999,	-999,	-999,	-999,	-999,
34763	19790911,	1800,	,	HU,	31.8N,	48.4W,	65,	992,	-999,	-999,	-999,	-999,	-999,	-999,	-999,	-999,	-999,	-999,	-999,	-999,
34764	19790912,	0000,	,	HU,	32.2N,	48.6W,	70,	988,	-999,	-999,	-999,	-999,	-999,	-999,	-999,	-999,	-999,	-999,	-999,	-999,
34765	19790912,	0600,	,	HU,	32.4N,	48.6W,	75,	985,	-999,	-999,	-999,	-999,	-999,	-999,	-999,	-999,	-999,	-999,	-999,	-999,
34766	19790912,	1200,	,	HU,	32.8N,	48.3W,	80,	980,	-999,	-999,	-999,	-999,	-999,	-999,	-999,	-999,	-999,	-999,	-999,	-999,
