At Site 1, EPA exceedances of:       0.00000 at date: 2009-12-31 and time: 23:00
At Site 2, EPA exceedances of:       80.1111 at date: 2009-05-30 and time: 09:00
At Site 2, EPA exceedances of:       81.8889 at date: 2009-05-30 and time: 10:00
At Site 2, EPA exceedances of:       81.1111 at date: 2009-05-30 and time: 11:00
At Site 2, EPA exceedances of:       86.4444 at date: 2009-07-01 and time: 09:00
At Site 2, EPA exceedances of:       91.7778 at date: 2009-07-01 and time: 10:00
At Site 2, EPA exceedances of:       95.7778 at date: 2009-07-01 and time: 11:00
At Site 2, EPA exceedances of:       96.8889 at date: 2009-07-01 and time: 12:00
At Site 2, EPA exceedances of:       94.4444 at date: 2009-07-01 and time: 13:00
At Site 2, EPA exceedances of:       89.3333 at date: 2009-07-01 and time: 14:00
At Site 2, EPA exceedances of:       82.4444 at date: 2009-07-01 and time: 15:00
At Site 2, EPA exceedances of:       80.4444 at date: 2009-07-02 and time: 08:00
At Site 2, EPA exceedances of:       84.6667 at date: 2009-07-02 and time: 09:00
At Site 2, EPA exceedances of:       86.5556 at date: 2009-07-02 and time: 10:00
At Site 2, EPA exceedances of:       86.2222 at date: 2009-07-02 and time: 11:00
At Site 2, EPA exceedances of:       83.7778 at date: 2009-07-02 and time: 12:00
At Site 2, EPA exceedances of:       86.3333 at date: 2009-07-07 and time: 09:00
At Site 2, EPA exceedances of:       90.1111 at date: 2009-07-07 and time: 10:00
At Site 2, EPA exceedances of:       90.7778 at date: 2009-07-07 and time: 11:00
At Site 2, EPA exceedances of:       88.0000 at date: 2009-07-07 and time: 12:00
At Site 2, EPA exceedances of:       84.0000 at date: 2009-07-07 and time: 13:00
At Site 2, EPA exceedances of:       83.1111 at date: 2009-08-25 and time: 10:00
At Site 2, EPA exceedances of:       85.7778 at date: 2009-08-25 and time: 11:00
At Site 2, EPA exceedances of:       85.5556 at date: 2009-08-25 and time: 12:00
At Site 2, EPA exceedances of:       82.8889 at date: 2009-08-25 and time: 13:00
At Site 3, EPA exceedances of:       81.0000 at date: 2009-07-01 and time: 08:00
At Site 3, EPA exceedances of:       89.1111 at date: 2009-07-01 and time: 09:00
At Site 3, EPA exceedances of:       92.7778 at date: 2009-07-01 and time: 10:00
At Site 3, EPA exceedances of:       93.7778 at date: 2009-07-01 and time: 11:00
At Site 3, EPA exceedances of:       89.3333 at date: 2009-07-01 and time: 12:00
At Site 3, EPA exceedances of:       82.1111 at date: 2009-07-01 and time: 13:00
