At Site 1, EPA exceedances of:       0.00000 at date: 1986-04-22 and time: 11:00
At Site 2, EPA exceedances of:       81.1111 at date: 1986-05-21 and time: 09:00
At Site 2, EPA exceedances of:       84.4444 at date: 1986-05-21 and time: 10:00
At Site 2, EPA exceedances of:       85.5556 at date: 1986-05-21 and time: 11:00
At Site 2, EPA exceedances of:       84.4444 at date: 1986-05-21 and time: 12:00
At Site 2, EPA exceedances of:       82.2222 at date: 1986-05-21 and time: 13:00
At Site 2, EPA exceedances of:       81.1111 at date: 1986-05-29 and time: 08:00
At Site 2, EPA exceedances of:       84.4444 at date: 1986-05-29 and time: 09:00
At Site 2, EPA exceedances of:       84.4444 at date: 1986-05-29 and time: 10:00
At Site 2, EPA exceedances of:       83.3333 at date: 1986-05-29 and time: 11:00
At Site 2, EPA exceedances of:       81.1111 at date: 1986-05-30 and time: 09:00
At Site 2, EPA exceedances of:       84.4444 at date: 1986-06-07 and time: 10:00
At Site 2, EPA exceedances of:       86.6667 at date: 1986-06-07 and time: 11:00
At Site 2, EPA exceedances of:       84.4444 at date: 1986-06-07 and time: 12:00
At Site 2, EPA exceedances of:       85.5556 at date: 1986-06-12 and time: 09:00
At Site 2, EPA exceedances of:       92.2222 at date: 1986-06-12 and time: 10:00
At Site 2, EPA exceedances of:       94.4444 at date: 1986-06-12 and time: 11:00
At Site 2, EPA exceedances of:       92.2222 at date: 1986-06-12 and time: 12:00
At Site 2, EPA exceedances of:       86.6667 at date: 1986-06-12 and time: 13:00
At Site 2, EPA exceedances of:       81.1111 at date: 1986-06-13 and time: 10:00
At Site 2, EPA exceedances of:       81.1111 at date: 1986-06-13 and time: 11:00
At Site 2, EPA exceedances of:       81.1111 at date: 1986-06-14 and time: 09:00
At Site 2, EPA exceedances of:       81.1111 at date: 1986-06-14 and time: 10:00
At Site 2, EPA exceedances of:       83.3333 at date: 1986-06-23 and time: 07:00
At Site 2, EPA exceedances of:       90.0000 at date: 1986-06-23 and time: 08:00
At Site 2, EPA exceedances of:       92.2222 at date: 1986-06-23 and time: 09:00
At Site 2, EPA exceedances of:       91.1111 at date: 1986-06-23 and time: 10:00
At Site 2, EPA exceedances of:       86.6667 at date: 1986-06-23 and time: 11:00
At Site 2, EPA exceedances of:       91.1111 at date: 1986-07-19 and time: 08:00
At Site 2, EPA exceedances of:       97.7778 at date: 1986-07-19 and time: 09:00
At Site 2, EPA exceedances of:       98.8889 at date: 1986-07-19 and time: 10:00
At Site 2, EPA exceedances of:       93.3333 at date: 1986-07-19 and time: 11:00
At Site 2, EPA exceedances of:       85.5556 at date: 1986-07-19 and time: 12:00
At Site 2, EPA exceedances of:       87.7778 at date: 1986-07-20 and time: 07:00
At Site 2, EPA exceedances of:       94.4444 at date: 1986-07-20 and time: 08:00
At Site 2, EPA exceedances of:       98.8889 at date: 1986-07-20 and time: 09:00
At Site 2, EPA exceedances of:       98.8889 at date: 1986-07-20 and time: 10:00
At Site 2, EPA exceedances of:       94.4444 at date: 1986-07-20 and time: 11:00
At Site 2, EPA exceedances of:       86.6667 at date: 1986-07-20 and time: 12:00
At Site 2, EPA exceedances of:       85.5556 at date: 1986-07-29 and time: 09:00
At Site 2, EPA exceedances of:       85.5556 at date: 1986-07-29 and time: 10:00
At Site 2, EPA exceedances of:       82.2222 at date: 1986-07-30 and time: 04:00
At Site 2, EPA exceedances of:       90.0000 at date: 1986-07-30 and time: 05:00
At Site 2, EPA exceedances of:       96.6667 at date: 1986-07-30 and time: 09:00
At Site 2, EPA exceedances of:       96.6667 at date: 1986-07-30 and time: 10:00
At Site 2, EPA exceedances of:       96.6667 at date: 1986-07-30 and time: 11:00
At Site 2, EPA exceedances of:       93.3333 at date: 1986-07-30 and time: 12:00
At Site 2, EPA exceedances of:       87.7778 at date: 1986-07-30 and time: 13:00
At Site 2, EPA exceedances of:       94.4444 at date: 1986-07-31 and time: 08:00
At Site 2, EPA exceedances of:       104.444 at date: 1986-07-31 and time: 09:00
At Site 2, EPA exceedances of:       108.889 at date: 1986-07-31 and time: 10:00
At Site 2, EPA exceedances of:       107.778 at date: 1986-07-31 and time: 11:00
At Site 2, EPA exceedances of:       101.111 at date: 1986-07-31 and time: 12:00
